index,title,group,tagger,tag,lowercase_word,N
2,Descartes,0,perceptron,.,",",8350
3,Descartes,0,perceptron,.,.,3898
0,Descartes,0,perceptron,.,(,1094
1,Descartes,0,perceptron,.,),1093
4,Descartes,0,perceptron,.,:,745
5,Descartes,0,perceptron,.,;,607
6,Descartes,0,perceptron,.,?,194
13,Descartes,0,perceptron,.,’,3
10,Descartes,0,perceptron,.,xi,2
7,Descartes,0,perceptron,.,beliefs,1
8,Descartes,0,perceptron,.,hr1,1
9,Descartes,0,perceptron,.,p.,1
11,Descartes,0,perceptron,.,–,1
12,Descartes,0,perceptron,.,‘,1
7810,Descartes,0,spacy,.,",",8350
7812,Descartes,0,spacy,.,.,3881
7806,Descartes,0,spacy,.,(,1086
7807,Descartes,0,spacy,.,),1057
7822,Descartes,0,spacy,.,‘,888
7823,Descartes,0,spacy,.,’,872
7813,Descartes,0,spacy,.,:,715
7814,Descartes,0,spacy,.,;,605
7821,Descartes,0,spacy,.,–,391
7811,Descartes,0,spacy,.,-,356
7815,Descartes,0,spacy,.,?,191
7808,Descartes,0,spacy,.,):,26
7817,Descartes,0,spacy,.,],10
7825,Descartes,0,spacy,.,“,10
7826,Descartes,0,spacy,.,”,10
7809,Descartes,0,spacy,.,*,6
7816,Descartes,0,spacy,.,[,5
7818,Descartes,0,spacy,.,ix–1,1
7819,Descartes,0,spacy,.,question.9,1
7820,Descartes,0,spacy,.,x,1
15055,Descartes,0,stanford,.,",",8350
15056,Descartes,0,stanford,.,.,3791
15053,Descartes,0,stanford,.,(,1094
15054,Descartes,0,stanford,.,),1093
15064,Descartes,0,stanford,.,’,894
15063,Descartes,0,stanford,.,‘,888
15057,Descartes,0,stanford,.,:,745
15058,Descartes,0,stanford,.,;,607
15059,Descartes,0,stanford,.,?,194
15062,Descartes,0,stanford,.,–,59
15060,Descartes,0,stanford,.,[,10
15061,Descartes,0,stanford,.,],10
15065,Descartes,0,stanford,.,“,10
15066,Descartes,0,stanford,.,”,10
1104,Descartes,0,perceptron,ADJ,such,293
1179,Descartes,0,perceptron,ADJ,true,284
812,Descartes,0,perceptron,ADJ,other,250
994,Descartes,0,perceptron,ADJ,s,187
1320,Descartes,0,perceptron,ADJ,‘,170
135,Descartes,0,perceptron,ADJ,certain,165
144,Descartes,0,perceptron,ADJ,clear,149
852,Descartes,0,perceptron,ADJ,physical,134
828,Descartes,0,perceptron,ADJ,particular,132
997,Descartes,0,perceptron,ADJ,same,130
729,Descartes,0,perceptron,ADJ,more,125
411,Descartes,0,perceptron,ADJ,first,123
868,Descartes,0,perceptron,ADJ,possible,113
442,Descartes,0,perceptron,ADJ,general,112
819,Descartes,0,perceptron,ADJ,own,112
262,Descartes,0,perceptron,ADJ,different,109
642,Descartes,0,perceptron,ADJ,least,100
389,Descartes,0,perceptron,ADJ,false,96
536,Descartes,0,perceptron,ADJ,important,84
282,Descartes,0,perceptron,ADJ,distinct,79
8836,Descartes,0,spacy,ADJ,true,284
8521,Descartes,0,spacy,ADJ,other,250
8783,Descartes,0,spacy,ADJ,such,243
7933,Descartes,0,spacy,ADJ,certain,165
7942,Descartes,0,spacy,ADJ,clear,150
8534,Descartes,0,spacy,ADJ,particular,137
8181,Descartes,0,spacy,ADJ,first,135
8556,Descartes,0,spacy,ADJ,physical,134
8690,Descartes,0,spacy,ADJ,same,130
8466,Descartes,0,spacy,ADJ,more,120
8573,Descartes,0,spacy,ADJ,possible,114
8209,Descartes,0,spacy,ADJ,general,112
8528,Descartes,0,spacy,ADJ,own,112
8044,Descartes,0,spacy,ADJ,different,109
8396,Descartes,0,spacy,ADJ,least,97
8161,Descartes,0,spacy,ADJ,false,96
8293,Descartes,0,spacy,ADJ,important,84
8059,Descartes,0,spacy,ADJ,distinct,83
8444,Descartes,0,spacy,ADJ,mental,80
8622,Descartes,0,spacy,ADJ,pure,78
16064,Descartes,0,stanford,ADJ,true,286
15764,Descartes,0,stanford,ADJ,other,249
16015,Descartes,0,stanford,ADJ,such,248
15173,Descartes,0,stanford,ADJ,certain,165
15182,Descartes,0,stanford,ADJ,clear,153
15412,Descartes,0,stanford,ADJ,first,139
15779,Descartes,0,stanford,ADJ,particular,138
15695,Descartes,0,stanford,ADJ,more,137
15799,Descartes,0,stanford,ADJ,physical,134
15927,Descartes,0,stanford,ADJ,same,130
15862,Descartes,0,stanford,ADJ,pure,126
15815,Descartes,0,stanford,ADJ,possible,114
15435,Descartes,0,stanford,ADJ,general,112
15771,Descartes,0,stanford,ADJ,own,112
15284,Descartes,0,stanford,ADJ,different,109
15394,Descartes,0,stanford,ADJ,false,97
15675,Descartes,0,stanford,ADJ,mental,88
15936,Descartes,0,stanford,ADJ,second,88
15519,Descartes,0,stanford,ADJ,important,84
15300,Descartes,0,stanford,ADJ,distinct,83
1365,Descartes,0,perceptron,ADP,of,4781
1357,Descartes,0,perceptron,ADP,in,2663
1385,Descartes,0,perceptron,ADP,that,2453
1336,Descartes,0,perceptron,ADP,as,1160
1353,Descartes,0,perceptron,ADP,for,853
1356,Descartes,0,perceptron,ADP,if,632
1347,Descartes,0,perceptron,ADP,by,597
1354,Descartes,0,perceptron,ADP,from,587
1367,Descartes,0,perceptron,ADP,on,564
1337,Descartes,0,perceptron,ADP,at,548
1406,Descartes,0,perceptron,ADP,with,520
1325,Descartes,0,perceptron,ADP,about,285
1384,Descartes,0,perceptron,ADP,than,237
1345,Descartes,0,perceptron,ADP,between,150
1382,Descartes,0,perceptron,ADP,since,136
1387,Descartes,0,perceptron,ADP,though,126
1404,Descartes,0,perceptron,ADP,whether,124
1408,Descartes,0,perceptron,ADP,without,105
1339,Descartes,0,perceptron,ADP,because,95
1359,Descartes,0,perceptron,ADP,into,90
8982,Descartes,0,spacy,ADP,of,4763
8974,Descartes,0,spacy,ADP,in,2655
8993,Descartes,0,spacy,ADP,to,1439
8972,Descartes,0,spacy,ADP,for,761
8958,Descartes,0,spacy,ADP,as,637
8967,Descartes,0,spacy,ADP,by,597
8973,Descartes,0,spacy,ADP,from,587
8984,Descartes,0,spacy,ADP,on,560
9001,Descartes,0,spacy,ADP,with,519
8960,Descartes,0,spacy,ADP,at,428
8949,Descartes,0,spacy,ADP,about,297
8990,Descartes,0,spacy,ADP,than,187
8965,Descartes,0,spacy,ADP,between,150
8985,Descartes,0,spacy,ADP,out,115
9003,Descartes,0,spacy,ADP,without,105
8977,Descartes,0,spacy,ADP,into,90
8999,Descartes,0,spacy,ADP,up,84
8978,Descartes,0,spacy,ADP,like,56
8953,Descartes,0,spacy,ADP,against,48
8991,Descartes,0,spacy,ADP,through,40
16217,Descartes,0,stanford,ADP,of,4734
16210,Descartes,0,stanford,ADP,in,2659
16232,Descartes,0,stanford,ADP,that,2249
16237,Descartes,0,stanford,ADP,to,1489
16190,Descartes,0,stanford,ADP,as,1142
16207,Descartes,0,stanford,ADP,for,853
16209,Descartes,0,stanford,ADP,if,632
16199,Descartes,0,stanford,ADP,by,598
16208,Descartes,0,stanford,ADP,from,587
16219,Descartes,0,stanford,ADP,on,551
16191,Descartes,0,stanford,ADP,at,524
16250,Descartes,0,stanford,ADP,with,521
16180,Descartes,0,stanford,ADP,about,267
16231,Descartes,0,stanford,ADP,than,237
16196,Descartes,0,stanford,ADP,between,150
16228,Descartes,0,stanford,ADP,since,136
