title,group,tag,lowercase_word,N
Descartes,0,.,",",8350
Descartes,0,.,.,3898
Descartes,0,.,(,1094
Descartes,0,.,),1093
Descartes,0,.,’,894
Descartes,0,.,‘,888
Descartes,0,.,:,745
Descartes,0,.,;,607
Descartes,0,.,–,391
Descartes,0,.,-,356
Descartes,0,.,?,194
Descartes,0,.,):,26
Descartes,0,.,[,10
Descartes,0,.,],10
Descartes,0,.,“,10
Descartes,0,.,”,10
Descartes,0,.,*,6
Descartes,0,.,xi,2
Descartes,0,.,beliefs,1
Descartes,0,.,hr1,1
Descartes,0,.,ix–1,1
Descartes,0,.,p.,1
Descartes,0,.,question.9,1
Descartes,0,.,x,1
Descartes,0,ADJ,such,293
Descartes,0,ADJ,true,286
Descartes,0,ADJ,other,250
Descartes,0,ADJ,s,187
Descartes,0,ADJ,‘,170
Descartes,0,ADJ,certain,165
Descartes,0,ADJ,clear,153
Descartes,0,ADJ,first,139
Descartes,0,ADJ,particular,138
Descartes,0,ADJ,more,137
Descartes,0,ADJ,physical,134
Descartes,0,ADJ,same,130
Descartes,0,ADJ,pure,126
Descartes,0,ADJ,possible,114
Descartes,0,ADJ,general,112
Descartes,0,ADJ,own,112
Descartes,0,ADJ,different,109
Descartes,0,ADJ,least,100
Descartes,0,ADJ,false,97
Descartes,0,ADJ,mental,88
Descartes,0,ADJ,second,88
Descartes,0,ADJ,important,84
Descartes,0,ADJ,distinct,83
Descartes,0,ADP,of,4781
Descartes,0,ADP,in,2663
Descartes,0,ADP,that,2453
Descartes,0,ADP,to,1489
Descartes,0,ADP,as,1160
Descartes,0,ADP,for,853
Descartes,0,ADP,if,632
Descartes,0,ADP,by,598
Descartes,0,ADP,from,587
Descartes,0,ADP,on,564
Descartes,0,ADP,at,548
Descartes,0,ADP,with,521
Descartes,0,ADP,about,297
Descartes,0,ADP,than,237
Descartes,0,ADP,between,150
Descartes,0,ADP,since,136
Descartes,0,ADP,though,126
Descartes,0,ADP,whether,124
Descartes,0,ADP,out,115
Descartes,0,ADP,without,105
Descartes,0,ADP,because,97
Descartes,0,ADP,into,90
Descartes,0,ADP,up,84
Descartes,0,ADP,like,56
Descartes,0,ADP,against,48
Descartes,0,ADP,through,40
Descartes,0,ADV,not,1585
Descartes,0,ADV,so,367
Descartes,0,ADV,only,266
Descartes,0,ADV,just,222
Descartes,0,ADV,then,221
Descartes,0,ADV,more,207
Descartes,0,ADV,even,193
Descartes,0,ADV,very,187
Descartes,0,ADV,when,182
Descartes,0,ADV,also,166
Descartes,0,ADV,how,146
Descartes,0,ADV,however,134
Descartes,0,ADV,now,134
Descartes,0,ADV,all,132
Descartes,0,ADV,rather,126
Descartes,0,ADV,here,123
Descartes,0,ADV,merely,122
Descartes,0,ADV,as,121
Descartes,0,ADV,at,120
Descartes,0,ADV,clearly,112
Descartes,0,ADV,already,107
Descartes,0,ADV,there,104
Descartes,0,ADV,indeed,94
Descartes,0,ADV,perhaps,80
Descartes,0,CONJ,that,2282
