title,lowercase_word,N
Descartes,princ,44
Descartes,gland,34
Descartes,pineal,23
Descartes,substances,23
Descartes,med,20
Descartes,regulae,18
Descartes,arnauld,14
Descartes,irr,14
Descartes,hr,12
Descartes,perfections,12
Descartes,burman,11
Descartes,immutable,11
Descartes,psychokinesis,11
Descartes,elizabeth,10
Descartes,ev,10
Descartes,reg,10
Descartes,hintikka,9
Descartes,cogitatio,8
Descartes,gibieuf,8
Descartes,mesland,8
Descartes,oind,8
Descartes,sol,8
Descartes,stev,8
Descartes,privation,7
Descartes,refraction,7
Descartes,traité,7
Descartes,veridical,7
Descartes,conserve,6
Descartes,doney,6
Descartes,flints,6
Descartes,fungus,6
Descartes,dioptric,5
Descartes,errorproof,5
Descartes,interactionism,5
Descartes,snowman,5
Descartes,amputated,4
Descartes,christina,4
Descartes,cogitationes,4
Descartes,gilson,4
Descartes,hyperaspistes,4
Descartes,jesuits,4
Descartes,kinematics,4
Descartes,lemmas,4
Descartes,meinongian,4
Descartes,meteors,4
Descartes,monde,4
Descartes,occult,4
Descartes,organ,4
Descartes,phenomenal,4
Descartes,prehistoric,4
Descartes,valley,4
Descartes,anoxia,3
Descartes,beating,3
Descartes,chanut,3
Descartes,chimera,3
Descartes,coats,3
Descartes,commentaire,3
Descartes,compressible,3
Descartes,corrigibility,3
Descartes,curve,3
Descartes,def,3
Descartes,designates,3
Descartes,dreamless,3
Descartes,ej,3
Descartes,flint,3
Descartes,geodesic,3
Descartes,hurts,3
Descartes,immutability,3
Descartes,innateness,3
Descartes,looseness,3
Descartes,marquis,3
Descartes,misuses,3
Descartes,modalities,3
Descartes,newtonian,3
Descartes,omnipotence,3
Descartes,owns,3
Descartes,picot,3
Descartes,princess,3
Descartes,referentially,3
Descartes,roberval,3
Descartes,schiffer,3
Descartes,stockholm,3
Descartes,videre,3
Descartes,volition,3
Descartes,volitions,3
Descartes,wiener,3
Descartes,amused,2
Descartes,anoxic,2
Descartes,apollonius,2
Descartes,apples,2
Descartes,baillet,2
Descartes,beck,2
Descartes,beeckman,2
Descartes,censured,2
Descartes,certitude,2
Descartes,clap,2
Descartes,clearness,2
Descartes,colvius,2
Descartes,conceptualizing,2
Descartes,debeaune,2
Descartes,deducible,2
Descartes,deliverance,2
Descartes,desargues,2
Descartes,disturbances,2
Descartes,dubiety,2
Descartes,durationless,2
Descartes,electro,2
Descartes,everyman,2
Descartes,feldman,2
Descartes,fragrance,2
Descartes,guelincx,2
Descartes,gueroult,2
Descartes,incompressible,2
Descartes,intellection,2
Descartes,invariant,2
Descartes,ity,2
Descartes,jaundice,2
Descartes,limitlessness,2
Descartes,lxii,2
Descartes,lxxi,2
Descartes,lxxxv,2
Descartes,malebranche,2
